Trials with delta >= 0.1, sorted by descending absolute time delta
Win rate in t1.txt: 39.78%
Win rate in t2.txt: 39.78%
Format: seed, won, time1, time2, delta
{'seed': 740693101823226354, 'won': True, 'time1': 0.5677027702331543, 'time2': 0.9458379745483398, 'delta': 0.37813520431518555}
{'seed': 7151398840096818603, 'won': False, 'time1': 0.8912830352783203, 'time2': 1.26900315284729, 'delta': 0.3777201175689697}
{'seed': 4109131478821816363, 'won': True, 'time1': 0.3054351806640625, 'time2': 0.6827309131622314, 'delta': 0.37729573249816895}
{'seed': 4736549942986796522, 'won': False, 'time1': 1.5439841747283936, 'time2': 1.9173119068145752, 'delta': 0.37332773208618164}
{'seed': 3857303039085113943, 'won': True, 'time1': 1.1496849060058594, 'time2': 1.5219318866729736, 'delta': 0.37224698066711426}
{'seed': 2530600467710294161, 'won': True, 'time1': 0.20244407653808594, 'time2': 0.5745460987091064, 'delta': 0.3721020221710205}
{'seed': 1815752913016716712, 'won': False, 'time1': 0.42023587226867676, 'time2': 0.7915058135986328, 'delta': 0.37126994132995605}
{'seed': 8757168431419684920, 'won': False, 'time1': 0.3024120330810547, 'time2': 0.6722269058227539, 'delta': 0.3698148727416992}
{'seed': 7107713385770423937, 'won': False, 'time1': 0.05442094802856445, 'time2': 0.4234127998352051, 'delta': 0.3689918518066406}
{'seed': 1953683858788653768, 'won': True, 'time1': 0.14015698432922363, 'time2': 0.5057559013366699, 'delta': 0.3655989170074463}
{'seed': 2998761146625066609, 'won': True, 'time1': 0.7034468650817871, 'time2': 1.0684220790863037, 'delta': 0.3649752140045166}
{'seed': 6614775367927315991, 'won': True, 'time1': 0.5199637413024902, 'time2': 0.884894847869873, 'delta': 0.3649311065673828}
{'seed': 6879192647309375349, 'won': True, 'time1': 0.5837912559509277, 'time2': 0.9461081027984619, 'delta': 0.3623168468475342}
{'seed': 6859590457045342268, 'won': True, 'time1': 0.6663548946380615, 'time2': 1.0282199382781982, 'delta': 0.3618650436401367}
{'seed': 1376634941632982600, 'won': False, 'time1': 3.280822992324829, 'time2': 2.920851945877075, 'delta': 0.3599710464477539}
{'seed': 8817866900892465319, 'won': True, 'time1': 1.2188048362731934, 'time2': 1.5763180255889893, 'delta': 0.3575131893157959}
{'seed': 6049465157294194636, 'won': True, 'time1': 1.6248221397399902, 'time2': 1.9810819625854492, 'delta': 0.356259822845459}
{'seed': 4398692259617622785, 'won': False, 'time1': 0.6612911224365234, 'time2': 1.017435073852539, 'delta': 0.3561439514160156}
{'seed': 8203134468373959767, 'won': False, 'time1': 1.5963499546051025, 'time2': 1.2408413887023926, 'delta': 0.35550856590270996}
{'seed': 8159442810076578582, 'won': True, 'time1': 0.5901730060577393, 'time2': 0.9453959465026855, 'delta': 0.3552229404449463}
{'seed': 3470765751189316994, 'won': True, 'time1': 0.9146580696105957, 'time2': 1.2691948413848877, 'delta': 0.354536771774292}
{'seed': 5441486986086858997, 'won': False, 'time1': 0.651343822479248, 'time2': 1.0036966800689697, 'delta': 0.3523528575897217}
{'seed': 7621250889226931886, 'won': False, 'time1': 0.9280619621276855, 'time2': 1.2803850173950195, 'delta': 0.352323055267334}
{'seed': 4014306127291917376, 'won': True, 'time1': 0.20827603340148926, 'time2': 0.5595707893371582, 'delta': 0.35129475593566895}
{'seed': 7964604999168942377, 'won': False, 'time1': 0.738682746887207, 'time2': 1.0898001194000244, 'delta': 0.3511173725128174}
{'seed': 1385995854016629792, 'won': False, 'time1': 0.5077729225158691, 'time2': 0.8585481643676758, 'delta': 0.35077524185180664}
{'seed': 7258723345811238580, 'won': True, 'time1': 1.0670688152313232, 'time2': 1.4176959991455078, 'delta': 0.35062718391418457}
{'seed': 6358103011552845944, 'won': False, 'time1': 0.1836998462677002, 'time2': 0.5325648784637451, 'delta': 0.3488650321960449}
{'seed': 5965494127866953146, 'won': False, 'time1': 0.5507071018218994, 'time2': 0.899163007736206, 'delta': 0.34845590591430664}
{'seed': 182262207557937210, 'won': False, 'time1': 0.0356900691986084, 'time2': 0.3838050365447998, 'delta': 0.3481149673461914}
{'seed': 1089033210457416372, 'won': True, 'time1': 0.5507338047027588, 'time2': 0.898406982421875, 'delta': 0.3476731777191162}
{'seed': 1959433748144009496, 'won': True, 'time1': 0.4868001937866211, 'time2': 0.8344168663024902, 'delta': 0.34761667251586914}
{'seed': 3724960414479420467, 'won': True, 'time1': 0.1936359405517578, 'time2': 0.5405681133270264, 'delta': 0.34693217277526855}
{'seed': 1527387532758611806, 'won': False, 'time1': 0.3252089023590088, 'time2': 0.6709611415863037, 'delta': 0.3457522392272949}
{'seed': 3703743208434965704, 'won': False, 'time1': 0.9678118228912354, 'time2': 1.3125309944152832, 'delta': 0.34471917152404785}
{'seed': 679693044837032192, 'won': False, 'time1': 0.3780341148376465, 'time2': 0.7215790748596191, 'delta': 0.34354496002197266}
{'seed': 2770102272096160759, 'won': True, 'time1': 3.7847630977630615, 'time2': 4.127068042755127, 'delta': 0.34230494499206543}
{'seed': 4776279815070211338, 'won': True, 'time1': 0.6216497421264648, 'time2': 0.9635460376739502, 'delta': 0.34189629554748535}
{'seed': 8391933468498554348, 'won': False, 'time1': 0.7164139747619629, 'time2': 1.0575928688049316, 'delta': 0.34117889404296875}
{'seed': 7651177737987898256, 'won': True, 'time1': 1.0925562381744385, 'time2': 1.432103157043457, 'delta': 0.33954691886901855}
{'seed': 6310205301069287251, 'won': True, 'time1': 0.8833191394805908, 'time2': 1.2191059589385986, 'delta': 0.3357868194580078}
{'seed': 6630378348508799643, 'won': False, 'time1': 0.4485008716583252, 'time2': 0.7841758728027344, 'delta': 0.3356750011444092}
{'seed': 2595763842093692025, 'won': False, 'time1': 0.5210340023040771, 'time2': 0.8516240119934082, 'delta': 0.33059000968933105}
{'seed': 2468548796785010615, 'won': True, 'time1': 0.09188508987426758, 'time2': 0.42084813117980957, 'delta': 0.328963041305542}
{'seed': 2181149663998649957, 'won': True, 'time1': 0.6066830158233643, 'time2': 0.9338972568511963, 'delta': 0.32721424102783203}
{'seed': 335546832006249083, 'won': False, 'time1': 0.4628751277923584, 'time2': 0.7900481224060059, 'delta': 0.32717299461364746}
{'seed': 2439123857617457931, 'won': False, 'time1': 0.21036005020141602, 'time2': 0.5372748374938965, 'delta': 0.32691478729248047}
{'seed': 73288603914479254, 'won': True, 'time1': 0.8284447193145752, 'time2': 1.1548550128936768, 'delta': 0.32641029357910156}
{'seed': 8808489202654546821, 'won': False, 'time1': 0.36817407608032227, 'time2': 0.6930229663848877, 'delta': 0.32484889030456543}
{'seed': 4157385489075447328, 'won': False, 'time1': 0.1314539909362793, 'time2': 0.45562076568603516, 'delta': 0.32416677474975586}
{'seed': 2454546281248805919, 'won': False, 'time1': 1.014665126800537, 'time2': 1.3385238647460938, 'delta': 0.32385873794555664}
{'seed': 5824670530389592748, 'won': True, 'time1': 1.3187999725341797, 'time2': 1.640639305114746, 'delta': 0.3218393325805664}
{'seed': 4861816781524759017, 'won': False, 'time1': 0.19068694114685059, 'time2': 0.5124919414520264, 'delta': 0.3218050003051758}
{'seed': 2628438618210734546, 'won': False, 'time1': 0.6265730857849121, 'time2': 0.9481163024902344, 'delta': 0.32154321670532227}
{'seed': 7857478050759761844, 'won': False, 'time1': 0.6643369197845459, 'time2': 0.9848489761352539, 'delta': 0.320512056350708}
{'seed': 1685985252684637973, 'won': False, 'time1': 0.12008905410766602, 'time2': 0.4393351078033447, 'delta': 0.3192460536956787}
{'seed': 6963040909745411356, 'won': False, 'time1': 0.48272109031677246, 'time2': 0.8012640476226807, 'delta': 0.3185429573059082}
{'seed': 6356162737709816217, 'won': True, 'time1': 1.5617380142211914, 'time2': 1.879051923751831, 'delta': 0.31731390953063965}
{'seed': 5754863555132099622, 'won': False, 'time1': 0.1909780502319336, 'time2': 0.5080630779266357, 'delta': 0.31708502769470215}
{'seed': 2445465982107557125, 'won': True, 'time1': 0.4198157787322998, 'time2': 0.7358272075653076, 'delta': 0.3160114288330078}
{'seed': 7737651331975111016, 'won': False, 'time1': 0.7630891799926758, 'time2': 1.0786018371582031, 'delta': 0.31551265716552734}
{'seed': 1144213386764348457, 'won': False, 'time1': 0.43004822731018066, 'time2': 0.7442560195922852, 'delta': 0.3142077922821045}
{'seed': 4871938010797797334, 'won': True, 'time1': 0.27591991424560547, 'time2': 0.5890600681304932, 'delta': 0.3131401538848877}
{'seed': 2430750826311568589, 'won': True, 'time1': 0.5028657913208008, 'time2': 0.8146390914916992, 'delta': 0.31177330017089844}
{'seed': 7889812762272740762, 'won': True, 'time1': 0.3649930953979492, 'time2': 0.6760811805725098, 'delta': 0.31108808517456055}
{'seed': 629416136447865816, 'won': True, 'time1': 0.91975998878479, 'time2': 1.23020601272583, 'delta': 0.31044602394104004}
{'seed': 7609379253172462323, 'won': False, 'time1': 0.4337780475616455, 'time2': 0.7441182136535645, 'delta': 0.31034016609191895}
{'seed': 5379272453375957812, 'won': False, 'time1': 0.4697408676147461, 'time2': 0.7782580852508545, 'delta': 0.3085172176361084}
